Model,MSE,MSE_STD,MAE,MAE_STD,Time
LSR,310.20821776634966,4.055001318554071,13.335290169811456,0.07890346119980486,0.41701817512512207
Lasso,473.21347868103476,5.042895911572197,16.98663692770221,0.09319296628114547,4.9893176555633545
Ridge,310.24500533655004,4.050503467185788,13.337397133181552,0.07889767612635991,1.1063716411590576
Bagging,93.13409744539942,2.4977619981950583,5.339024921855957,0.05513166990603889,154.2033553123474
RF,99.97179884250353,2.7553622490715743,5.5367921811554535,0.05709573062982778,8.469584941864014
GBR,136.88887496288115,2.786324789485337,7.679352689557749,0.0605343965851809,282.65443301200867
UNNS,130.64699243944187,20.499420166180716,6.63377438412198,0.06383326035239553,4883.927808046341
UNNSp,1170.2445279831234,1062.608177572998,6.885468228311797,0.22979769767913072,4252.772922515869
CNNS,105.50407641511168,2.5154192058302356,6.0676449186833805,0.05683651125557574,21763.045263051987
CNNSp,101.28549779505703,2.4644455861668235,5.929537702911811,0.05576659407191723,10224.631266593933
Breiman,103.51996350543395,2.409734675858607,6.34292610623632,0.05455641815065172,0.021500349044799805
NNMeta,122.16699123450239,2.7446351861290412,7.139322778610389,0.057865374093187316,1901.307101726532
NN,234.09975507037439,6.221782229087858,10.4685378265132,0.07652246019087437,1574.2687668800354
