Model,MSE,MSE_STD,MAE,MAE_STD,Time
LSR,926.9960521832525,66.5876369157835,9.559834616383366,0.12628495327863415,5.528968095779419
Lasso,922.9316183926483,67.00301080772654,8.981129693513195,0.12678761680539505,47.137274980545044
Ridge,925.4661155968513,66.47279250067074,9.52660518554321,0.12621725124447702,8.115199327468872
Bagging,590.1516105766859,49.955425306119544,5.2044405692332525,0.10366457158978397,396.6328058242798
RF,617.2232959149756,48.68067022549077,5.383792403108,0.10595647442591295,21.09030795097351
GBR,602.7590535924854,46.78571349678949,5.8003623766704715,0.10421995760307651,2324.7770640850067
UNNS,651.4571836450046,50.768884802976324,6.9096211782686945,0.10734125571913858,7404.696577310562
UNNSp,629.4185192426941,49.582065192649985,6.732005076514389,0.10558300684984583,6280.930120944977
CNNS,605.7746516806899,,6.315360812506704,,36894.708797454834
CNNSp,598.0293828282478,48.72587074352063,6.393642062139785,0.10311866523184701,18852.058568954468
Breiman,619.091447241368,49.11540224172905,6.907634193998854,0.1044267939009677,0.1731891632080078
NNMeta,710.1251285282973,58.50041297056388,5.566518354909475,0.11384927498808788,2354.6256110668182
NN,1038452.171090337,1036840.8765097186,11.216981669704607,4.451617807853051,2877.105813264847
