Model,MSE,MSE_STD,MAE,MAE_STD,Time
LSR,81139.07453759717,769.8479976851438,176.25506486182772,0.455254580224286,0.6541666984558105
Lasso,81617.80182145855,792.8537418856305,174.56509030264192,0.4601001864565533,6.684956312179565
Ridge,81139.07463279464,769.850437943144,176.25486361593028,0.4552549031475873,1.3461811542510986
Bagging,30209.608395610245,341.64987921478627,62.77295924042545,0.32974229843424324,136.06270146369934
RF,30781.947541839647,356.22789300940974,62.84085114339853,0.33326211623650054,5.665776252746582
GBR,27778.8466489752,283.81366294484326,85.55065495961335,0.2910071293942181,805.0328106880188
UNNS,95262.19679883574,1586.8836995809863,127.82920936461144,0.5715447944994592,29894.537580251694
UNNSp,99614.29684792332,1662.1432186172794,120.95896930671819,0.59308663567641,28013.751986265182
CNNS,41722.4940663057,405.97534410126195,99.95125087728377,0.36241145021677834,220457.1774804592
CNNSp,41467.07533454075,392.74902092391477,104.10313330881705,0.3560592638570506,69860.5199611187
Breiman,139245.12075817908,1262.1277918562623,182.74543971864875,0.6619045650464832,0.014036178588867188
NNMeta,199111.01967644217,2434.31344514863,194.30588123732437,0.8172302301942408,9557.053889513016
NN,14830.386605182171,151.0257664869419,54.103118295814824,0.22196480386541784,9459.141021966934
